"Source:","/home/carstentb/Projects/KiCad/cv-binary-seq-eurorack/cv_sequencer.kicad_sch"
"Date:","Sun 06 Nov 2022 12:24:42 PM EST"
"Tool:","Eeschema (6.0.9)"
"Generator:","/home/carstentb/.local/share/kicad/6.0/plugins/bom_csv_grouped_by_value.py"
"Component Count:","90"

"Collated Components:"

"Item","Reference(s)","Qty","Distributor","Dist. PN","Value","SPN","Val"
"1","C1, C2, C4, C5, C7, C9, C10, C11, C12, C14, C18, C19","12","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3089_Capacitor_100n_16V_0402)","","","3089_Capacitor_100n_16V_0402","100n"
"2","C3, C22, C23, C24","4","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3089_Capacitor_100n_16V_0402)","","","3089_Capacitor_100n_16V_SMD","100n"
"3","C6, C8","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4003_Capacitor_22pF_50V_0402)","","","4003_Capacitor_22pF_50V_0402","22pF"
"4","C13, C15, C16, C17","4","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4035_Capacitor_2u2_25V_0402)","","","4035_Capacitor_2u2_25V_0402","2u2"
"5","C20, C21","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4031_Capacitor_10u_35V_SMD)","","","4031_Capacitor_10u_35V_SMD","10u"
"6","E1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4025_Encoder_Switch_SMD)","","","4025_Encoder_Switch_SMD",""
"7","J1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4029_Connector_PicoBlade_4pos_Vert_THT)","","",":MIDI_IO",""
"8","J2","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4005_SWD_Header)","","","SWD",""
"9","J3","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3086_Connector_Eurorack_Power)","","","3086_Connector_Eurorack_Power",""
"10","J4","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3096_USBC_RA_SMD)","","","3096_USBC_RA_SMD",""
"11","J5","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3046_Header_Male_Vert_3pos)","","","CV_OFFSET",""
"12","J6, J7, J8, J9, J10, J11, J12, J13","8","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3085_MiniJack_Thonk_Vert)","","","3085_MiniJack_Thonk_Vert",""
"13","R1, R8, R32","3","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4008_Resistor_SMD_10k_0.125W_1%)","","","4008_Resistor_SMD_10k_0.125W_1%","10k"
"14","R2, R38","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4021_Resistor_SMD_Jumper)","","","DNP","0"
"15","R3, R36","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4021_Resistor_SMD_Jumper)","","","4021_Resistor_SMD_Jumper","0"
"16","R4, R5","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4010_Resistor_SMD_1k_0.125W_1%)","","","4010_Resistor_SMD_1k_0.125W_1%","1k"
"17","R6, R7","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4011_Resistor_SMD_27_0.125W_1%)","","","4011_Resistor_SMD_27_0.125W_1%","27"
"18","R9, R11","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4016_Resistor_SMD_27k_0.125W_1%)","","","4016_Resistor_SMD_27k_0.125W_1%","27k"
"19","R10","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4033_Resistor_SMD_18k_0.125W_1%)","","","4033_Resistor_SMD_18k_0.125W_1%","18k"
"20","R12","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4034_Resistor_SMD_8k2_0.125W_1%)","","","4034_Resistor_SMD_8k2_0.125W_1%","8k2"
"21","R13, R14","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4009_Resistor_SMD_5k1_0.10W_1%)","","","4009_Resistor_SMD_5k1_0.10W_1%","5k1"
"22","R15, R16, R17, R18","4","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4023_Resistor_SMD_56k_0.125W_1%)","","","4023_Resistor_SMD_56k_0.125W_1%","56k"
"23","R19, R20, R21, R22","4","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4022_Resistor_SMD_120k_0.125W_1%)","","","4022_Resistor_SMD_120k_0.125W_1%","120k"
"24","R23, R24, R25, R26, R27, R28, R29, R30","8","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4006_Resistor_SMD_68k_0.125W_1%)","","","4006_Resistor_SMD_68k_0.125W_1%","68k"
"25","R31, R33","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4030_Resistor_SMD_220_0.125W_1%)","","","4030_Resistor_SMD_220_0.125W_1%","220"
"26","R34, R35","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4038_Resistor_SMD_100_0.125W_1%)","","","4038_Resistor_SMD_100_0.125W_1%","100"
"27","R37","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4021_Resistor_SMD_Jumper)","","","JMP","0"
"28","SW1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4012_PushButton_NO_SMD)","","","RST",""
"29","SW2","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4012_PushButton_NO_SMD)","","","BOOT",""
"30","U1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3097_TFT_Display_SPI)","","","3097_TFT_Display_SPI","1.14"" TFT Display"
"31","U2","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4002_RP2040)","","","4002_RP2040",""
"32","U3, U4","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4032_Adjustable_Reg_200mA_SOT-23-5)","","","4032_Adjustable_Reg_200mA_SOT-23-5",""
"33","U5","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4014_Voltage_Reference_5V_SOT23-6)","","","4014_Voltage_Reference_5V_SOT23-6",""
"34","U6","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4001_MCP48FEB24_DAC)","","","4001_MCP48FEB24_DAC",""
"35","U7, U8","2","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=3099_TL074CPW_SMD)","","","3099_TL074CPW_SMD","TL074"
"36","U9","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4028_OptoIsolator_TLP290)","","","4028_OptoIsolator_TLP290",""
"37","U10","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4036_LED_GRN_SMD)","","","PWR",""
"38","U11","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4037_LED_YLW_SMD)","","","STAT",""
"39","Y1","1","=FILTER('Parts Inventory'!G:H, 'Parts Inventory'!A:A=4004-Crystal-12MHz_GND24)","","","4004-Crystal-12MHz_GND24","12.00MHz"
